legacy_agreement_key,legacy_student_id,concept_code,legacy_price_id,base_amount_snapshot,benefit_type_snapshot,benefit_value_snapshot,agreed_amount,valid_from,valid_until,reason,source
83744ef9-a5f4-4c6a-9c81-a6ea4f9507cf|ENROLLMENT_FEE|2025-09-01,83744ef9-a5f4-4c6a-9c81-a6ea4f9507cf,ENROLLMENT_FEE,559f8a32-398e-45ff-a07d-636eaf000ce8,2500.00,,,2500.00,2025-09-01,,,LEGACY_PRICE_HISTORY
61565b9f-a82a-49cf-aa9f-3e7df8d7889c|ENROLLMENT_FEE|2025-09-01,61565b9f-a82a-49cf-aa9f-3e7df8d7889c,ENROLLMENT_FEE,566b9cb8-9eb0-4351-aa1c-090453f7208f,2500.00,,,2500.00,2025-09-01,,,LEGACY_PRICE_HISTORY
e57db8cf-8012-4fa3-b822-41d98008dc00|TUITION|2025-09-01,e57db8cf-8012-4fa3-b822-41d98008dc00,TUITION,56cca935-0be6-4be2-a2e3-a639c46dccf3,1600.00,FIXED_AMOUNT,100.00,1500.00,2025-09-01,,beca fran,LEGACY_PRICE_HISTORY
f618e808-f64d-40f7-ac44-d3b6ddc0f0a7|TUITION|2025-09-02,f618e808-f64d-40f7-ac44-d3b6ddc0f0a7,TUITION,58a62d78-6af8-4ae3-b70d-8bb3cc6c511b,1600.00,FIXED_AMOUNT,400.00,1200.00,2025-09-02,2025-09-02,beca hermanas,LEGACY_PRICE_HISTORY
f618e808-f64d-40f7-ac44-d3b6ddc0f0a7|TUITION|2025-09-03,f618e808-f64d-40f7-ac44-d3b6ddc0f0a7,TUITION,7f0b9545-1c90-4fda-a175-6fe8838d9536,1600.00,FIXED_AMOUNT,100.00,1500.00,2025-09-03,,corrección de beca ajuste,LEGACY_PRICE_HISTORY
0a79ced7-bab3-44d8-89da-e166880163bd|TUITION|2025-09-01,0a79ced7-bab3-44d8-89da-e166880163bd,TUITION,5909351a-da76-4156-9095-cd3cd07610d4,1500.00,FIXED_AMOUNT,600.00,900.00,2025-09-01,,Beca Familiar,LEGACY_PRICE_HISTORY
0489bdaf-c632-4a1f-9b8e-85dba33a74b0|TUITION|2025-09-02,0489bdaf-c632-4a1f-9b8e-85dba33a74b0,TUITION,5a36e575-cb6b-4b9a-8373-b71d21403add,1600.00,FIXED_AMOUNT,500.00,1100.00,2025-09-02,,beca isla,LEGACY_PRICE_HISTORY
8d1da005-457e-4b91-b44a-605b0ca3c47a|TUITION|2025-09-02,8d1da005-457e-4b91-b44a-605b0ca3c47a,TUITION,5b027b56-2795-462b-a3d9-981878f69f40,1600.00,,,1600.00,2025-09-02,,Alta inicial (personalizada),LEGACY_PRICE_HISTORY
ade9cbc4-6693-4456-b351-ef101774e7e4|TUITION|2025-09-02,ade9cbc4-6693-4456-b351-ef101774e7e4,TUITION,5b57f247-114d-4804-b532-8104e60e7190,1600.00,FIXED_AMOUNT,1100.00,500.00,2025-09-02,,beca fran,LEGACY_PRICE_HISTORY
0ec01322-e8d2-450f-b375-827d0bf81fe4|TUITION|2025-09-01,0ec01322-e8d2-450f-b375-827d0bf81fe4,TUITION,5e719dd1-c6a6-4cdc-a829-b266ef8d7f00,1600.00,FIXED_AMOUNT,1600.00,0.00,2025-09-01,,nieta martha camacho,LEGACY_PRICE_HISTORY
fa437269-6375-40e4-87dc-f133c454a67b|ENROLLMENT_FEE|2025-02-10,fa437269-6375-40e4-87dc-f133c454a67b,ENROLLMENT_FEE,5e74737b-ba83-4a91-885f-f49c3c617b0f,1100.00,,,1100.00,2025-02-10,,,LEGACY_PRICE_HISTORY
64b7b8c4-c418-4b27-8aa7-31c44d2850f4|ENROLLMENT_FEE|2025-09-05,64b7b8c4-c418-4b27-8aa7-31c44d2850f4,ENROLLMENT_FEE,5fdbde3f-de5d-4e98-9637-868d32ab12a3,2500.00,,,2500.00,2025-09-05,,,LEGACY_PRICE_HISTORY
6d484f92-07ed-4ef5-acde-ed43c7314527|TUITION|2025-09-02,6d484f92-07ed-4ef5-acde-ed43c7314527,TUITION,5fe5813a-3cbb-40c4-b3ff-f1b3ed3fd057,1500.00,,,1500.00,2025-09-02,,Alta inicial (personalizada),LEGACY_PRICE_HISTORY
